metai;indeksas
2004M01;71.6147
2004M02;71.415
2004M03;71.7839
2004M04;72.0629
2004M05;73.0249
2004M06;73.0758
2004M07;73.2717
2004M08;72.888
2004M09;73.2478
2004M10;73.3362
2004M11;73.4853
2004M12;73.7637
2005M01;73.4869
2005M02;73.4681
2005M03;73.7411
2005M04;73.9354
2005M05;74.2748
2005M06;74.2114
2005M07;73.8174
2005M08;73.8149
2005M09;74.2811
2005M10;74.7166
2005M11;75.02
2005M12;75.074
2006M01;75.1525
2006M02;75.204
2006M03;75.3634
2006M04;75.7685
2006M05;76.2286
2006M06;76.4215
2006M07;76.5905
2006M08;76.5655
2006M09;76.7941
2006M10;77.3942
2006M11;77.9303
2006M12;78.1427
2007M01;78.2033
2007M02;78.3918
2007M03;78.7437
2007M04;79.4267
2007M05;79.7424
2007M06;79.9262
2007M07;80.4254
2007M08;80.7891
2007M09;81.9303
2007M10;83.1437
2007M11;83.781
2007M12;84.1231
2008M01;84.8427
2008M02;85.9193
2008M03;86.8781
2008M04;87.9823
2008M05;88.5072
2008M06;88.9292
2008M07;89.1176
2008M08;89.3611
2008M09;89.9119
2008M10;90.674
2008M11;90.8555
2008M12;90.8786
2009M01;92.4669
2009M02;92.7228
2009M03;92.8017
2009M04;92.7225
2009M05;92.3872
2009M06;91.8126
2009M07;91.4337
2009M08;91.0712
2009M09;91.7825
2009M10;91.9327
2009M11;91.9168
2009M12;91.5702
2010M01;91.6652
2010M02;91.3529
2010M03;91.5286
2010M04;91.708
2010M05;91.7741
2010M06;91.833
2010M07;91.5729
2010M08;91.3204
2010M09;91.9639
2010M10;92.3112
2010M11;92.3635
2010M12;92.6796
2011M01;92.7444
2011M02;92.7926
2011M03;93.6617
2011M04;94.6227
2011M05;95.3172
2011M06;95.1902
2011M07;94.5056
2011M08;93.9844
2011M09;94.6243
2011M10;94.6129
2011M11;94.7761
2011M12;94.7428
2012M01;94.89
2012M02;95.0619
2012M03;96.0166
2012M04;96.5595
2012M05;96.6482
2012M06;96.857
2012M07;96.5612
2012M08;96.5416
2012M09;97.1458
2012M10;97.3394
2012M11;97.4006
2012M12;97.4726
2013M01;97.2656
2013M02;97.2159
2013M03;97.8076
2013M04;98.0818
2013M05;98.5392
2013M06;98.5561
2013M07;97.85
2013M08;97.6684
2013M09;98.3056
2013M10;98.326
2013M11;98.3008
2013M12;98.2528
2014M01;98.1081
2014M02;97.9416
2014M03;98.4069
2014M04;98.8812
2014M05;99.0968
2014M06;99.2617
2014M07;98.8562
2014M08;98.7254
2014M09;99.3915
2014M10;99.3663
2014M11;99.46
2014M12;99.2871
2015M01;98.9396
2015M02;98.5643
2015M03;99.0682
2015M04;99.9861
2015M05;100.238
2015M06;100.2159
2015M07;99.7282
2015M08;99.3834
2015M09;100.3891
2015M10;100.9666
2015M11;101.47
2015M12;101.0507
2016M01;100.8841
2016M02;100.6719
2016M03;101.9005
2016M04;102.4493
2016M05;102.4235
2016M06;102.4788
2016M07;102.0031
2016M08;101.6142
2016M09;102.1165
2016M10;102.461
2016M11;102.7594
2016M12;103.1363
2017M01;103.1465
2017M02;103.4205
2017M03;104.7668
2017M04;105.9323
2017M05;106.0248
2017M06;106.326
2017M07;106.0106
2017M08;105.9424
2017M09;106.9007
2017M10;107.2679
2017M11;107.2141
2017M12;107.1013
