Metai;Svertinis vidurkis. Eur/ha
2000 03 01;297.7
2000 06 01;307.89
2000 09 01;287.35
2000 12 01;321.29
2001 03 01;287.85
2001 06 01;292.7
2001 09 01;341.78
2001 12 01;305.8
2002 03 01;327.34
2002 06 01;328.57
2002 09 01;364.76
2002 12 01;362.06
2003 03 01;360.15
2003 06 01;468.39
2003 09 01;451.77
2003 12 01;448.37
2004 03 01;422.58
2004 06 01;452.74
2004 09 01;483.38
2004 12 01;483.29
2005 03 01;517.99
2005 06 01;538.06
2005 09 01;657.1
2005 12 01;692.27
2006 03 01;677.2
2006 06 01;774.59
2006 09 01;811.46
2006 12 01;848.68
2007 03 01;863.72
2007 06 01;996.88
2007 09 01;1210.66
2007 12 01;1188.76
2008 03 01;1189.92
2008 06 01;1236.89
2008 09 01;1407.02
2008 12 01;1420.23
2009 03 01;1125.06
2009 06 01;1042.83
2009 09 01;1111.81
2009 12 01;1089.72
2010 03 01;1054.18
2010 06 01;1004.02
2010 09 01;1042.64
2010 12 01;1096.97
2011 03 01;1143.81
2011 06 01;1158.65
2011 09 01;1242.04
2011 12 01;1244.86
2012 03 01;1279.27
2012 06 01;1342.11
2012 09 01;1500.78
2012 12 01;1591.64
2013 03 01;1627.47
2013 06 01;1753.69
2013 09 01;1900.36
2013 12 01;1965.02
2014 03 01;2115.37
2014 06 01;2371.52
2014 09 01;2389.14
2014 12 01;2551.15
2015 03 01;2428.17
2015 06 01;2525.16
2015 09 01;2635.01
2015 12 01;2644.76
2016 03 01;2734.47
2016 06 01;2655
2016 09 01;2848.69
2016 12 01;2946.73
2017 03 01;2764.96
2017 06 01;2638.24
2017 09 01;2905.3
2017 12 01;3002.34
